B,,,,HB,,,,0,,,,0.002,,,,0.004,,,,0.006,,,,0.008,,,,0.01,,,,0.03,,,,B,,,,HB,,,,0.05,,,,0.08,,,,0.1,,,,0.2,,,,0.4,,,,0.6,,,,0.7,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Absorbance (AU),,Wavelength (nm),Absorbance (AU),Absorbance (AU),,Wavelength (nm),Absorbance (AU),Absorbance (AU),,Wavelength (nm),Absorbance (AU),Absorbance (AU),,Wavelength (nm),Absorbance (AU),Absorbance (AU),,Wavelength (nm),Absorbance (AU),Absorbance (AU),,Wavelength (nm),Absorbance (AU),Absorbance (AU),,Wavelength (nm),Absorbance (AU),Absorbance (AU),,Wavelength (nm),Absorbance (AU),Absorbance (AU),,,,,,,,,,Wavelength (nm),Absorbance (AU),Absorbance (AU),,Wavelength (nm),Absorbance (AU),Absorbance (AU),,Wavelength (nm),Absorbance (AU),Absorbance (AU),,Wavelength (nm),Absorbance (AU),Absorbance (AU),,Wavelength (nm),Absorbance (AU),Absorbance (AU),,Wavelength (nm),Absorbance (AU),Absorbance (AU),,Wavelength (nm),Absorbance (AU),Absorbance (AU),,,,,,,,,,,,
380,1.77E-01,1.64E-01,,380,2.01E-01,0.185714,,380,1.78E-01,0.164178,,380,1.84E-01,0.16851,,380,1.89E-01,0.180003,,380,1.92E-01,0.174083,,380,1.83E-01,0.164888,,380,1.80E-01,0.167868,,380,1.80E-01,0.167841,,,,,,,,,,380,1.85E-01,0.16587,,380,1.81E-01,0.167435,,380,1.80E-01,0.169292,,380,1.79E-01,0.164529,,380,1.80E-01,0.166946,,380,1.80E-01,0.170377,,380,1.02E-01,9.33E-02,,,,,,,,,,,,
381,1.80E-01,1.67E-01,,381,2.04E-01,0.188674,,381,1.81E-01,0.167083,,381,1.87E-01,0.171274,,381,1.92E-01,0.183358,,381,1.95E-01,0.177257,,381,1.86E-01,0.167733,,381,1.83E-01,0.171103,,381,1.84E-01,0.171033,,,,,,,,,,381,1.88E-01,0.169089,,381,1.83E-01,0.170279,,381,1.83E-01,0.172588,,381,1.82E-01,0.167768,,381,1.84E-01,0.170423,,381,1.83E-01,0.173575,,381,1.04E-01,9.53E-02,,,,,,,,,,,,
382,1.83E-01,1.70E-01,,382,2.07E-01,0.191459,,382,1.84E-01,0.169805,,382,1.90E-01,0.17425,,382,1.95E-01,0.185901,,382,1.98E-01,0.180106,,382,1.89E-01,0.17082,,382,1.85E-01,0.173665,,382,1.87E-01,0.174058,,,,,,,,,,382,1.91E-01,0.172062,,382,1.86E-01,0.173131,,382,1.85E-01,0.17511,,382,1.85E-01,0.170539,,382,1.87E-01,0.173361,,382,1.86E-01,0.176602,,382,1.05E-01,9.68E-02,,,,,,,,,,,,
383,1.86E-01,1.73E-01,,383,2.09E-01,0.193716,,383,1.87E-01,0.17241,,383,1.92E-01,0.176527,,383,1.97E-01,0.188335,,383,2.01E-01,0.182553,,383,1.91E-01,0.172923,,383,1.88E-01,0.17618,,383,1.89E-01,0.176335,,,,,,,,,,383,1.94E-01,0.174446,,383,1.89E-01,0.175903,,383,1.88E-01,0.177599,,383,1.87E-01,0.17291,,383,1.89E-01,0.175506,,383,1.89E-01,0.179047,,383,1.06E-01,9.77E-02,,,,,,,,,,,,
384,1.88E-01,1.75E-01,,384,2.12E-01,0.196575,,384,1.90E-01,0.175371,,384,1.95E-01,0.179417,,384,2.00E-01,0.191534,,384,2.04E-01,0.18574,,384,1.94E-01,0.17577,,384,1.90E-01,0.178772,,384,1.92E-01,0.179158,,,,,,,,,,384,1.96E-01,0.177144,,384,1.92E-01,0.178713,,384,1.91E-01,0.180444,,384,1.90E-01,0.175766,,384,1.92E-01,0.178352,,384,1.92E-01,0.181991,,384,1.08E-01,9.92E-02,,,,,,,,,,,,
385,1.90E-01,1.78E-01,,385,2.15E-01,0.199409,,385,1.92E-01,0.178045,,385,1.98E-01,0.182029,,385,2.03E-01,0.19411,,385,2.07E-01,0.188384,,385,1.97E-01,0.178551,,385,1.93E-01,0.181642,,385,1.95E-01,0.182127,,,,,,,,,,385,1.99E-01,0.179937,,385,1.95E-01,0.181355,,385,1.94E-01,0.183264,,385,1.92E-01,0.178384,,385,1.94E-01,0.181177,,385,1.94E-01,0.18448,,385,1.09E-01,0.100347,,,,,,,,,,,,
386,1.93E-01,1.80E-01,,386,2.18E-01,0.202774,,386,1.95E-01,0.180995,,386,2.01E-01,0.185076,,386,2.06E-01,0.197184,,386,2.10E-01,0.191589,,386,2.00E-01,0.181679,,386,1.96E-01,0.184445,,386,1.97E-01,0.184827,,,,,,,,,,386,2.02E-01,0.18299,,386,1.97E-01,0.183884,,386,1.96E-01,0.186119,,386,1.95E-01,0.181099,,386,1.97E-01,0.183932,,386,1.97E-01,0.187135,,386,1.10E-01,0.101705,,,,,,,,,,,,
387,1.95E-01,1.83E-01,,387,2.22E-01,0.206303,,387,1.98E-01,0.18371,,387,2.04E-01,0.188052,,387,2.08E-01,0.199801,,387,2.13E-01,0.194315,,387,2.03E-01,0.184372,,387,1.99E-01,0.187204,,387,2.00E-01,0.187567,,,,,,,,,,387,2.05E-01,0.185945,,387,2.00E-01,0.18669,,387,1.99E-01,0.188552,,387,1.98E-01,0.183977,,387,2.00E-01,0.186429,,387,2.00E-01,0.189813,,387,1.11E-01,0.102688,,,,,,,,,,,,
388,1.97E-01,1.85E-01,,388,2.25E-01,0.209334,,388,2.01E-01,0.186507,,388,2.06E-01,0.19032,,388,2.11E-01,0.202758,,388,2.15E-01,0.197114,,388,2.05E-01,0.186894,,388,2.02E-01,0.189781,,388,2.03E-01,0.190178,,,,,,,,,,388,2.07E-01,0.188067,,388,2.02E-01,0.189037,,388,2.02E-01,0.191386,,388,2.00E-01,0.186206,,388,2.02E-01,0.188527,,388,2.02E-01,0.191909,,388,1.12E-01,0.103608,,,,,,,,,,,,
389,1.98E-01,1.86E-01,,389,2.28E-01,0.21214,,389,2.03E-01,0.189133,,389,2.08E-01,0.192642,,389,2.14E-01,0.205498,,389,2.18E-01,0.199511,,389,2.07E-01,0.189013,,389,2.03E-01,0.191757,,389,2.05E-01,0.192694,,,,,,,,,,389,2.10E-01,0.190392,,389,2.05E-01,0.191317,,389,2.04E-01,0.193479,,389,2.02E-01,0.188373,,389,2.03E-01,0.190325,,389,2.03E-01,0.19331,,389,1.13E-01,0.104453,,,,,,,,,,,,
